ast,ast_pct,blk,blk_pct,def_reb_pct,def_rtg,efg,fg,fg3,fg3_pct,fg3a,fg3a_per_fga_pct,fg_pct,fga,ft,ft_pct,ft_rt,fta,fta_per_fga_pct,off_rtg,opp_ast,opp_blk,opp_efg_pct,opp_fg,opp_fg3,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_ft_rate,opp_fta,opp_orb,opp_pf,opp_pts,opp_stl,opp_tov,opp_tov_pct,opp_trb,orb,orb_pct,pace,pf,pts,stl,stl_pct,to,to_pct,trb,trb_pct,ts_pct,ttl_pts
399.0,2839.21,30.0,69.5,6623.05,9921.42,0.2115,1404.0,42.0,0.0783,528.0,0.0667,0.17629999999999998,7896.0,342.0,0.5256,0.042,650.0,0.084,9921.42,399.0,30.0,0.2115,1404.0,42.0,528.0,0.17629999999999998,7896.0,342.0,0.5256,0.042,650.0,65.0,506.0,9991.0,35.0,130.0,104.39999999999999,2279.0,65.0,283.05,10060.09,506.0,9991.0,35.0,35.0,130.0,104.39999999999999,2279.0,2472.96,0.2499,200.0
480.0,3030.2000000000003,15.0,37.71999999999999,5715.359999999999,11341.279999999999,0.2695,1584.0,24.0,0.0725,336.0,0.05039999999999999,0.2397,6622.0,342.0,0.48910000000000003,0.0506,702.0,0.105,11341.279999999999,480.0,15.0,0.2695,1584.0,24.0,336.0,0.2397,6622.0,342.0,0.48910000000000003,0.0506,702.0,100.0,580.0,10622.0,30.0,234.0,198.24,1681.0,100.0,595.3599999999999,9370.24,580.0,10622.0,30.0,32.24,234.0,198.24,1681.0,2500.0,0.3074,207.0
609.0,3077.5300000000007,4.0,13.299999999999999,5343.25,13844.29,0.3135,1980.0,84.0,0.0816,1015.0,0.13260000000000002,0.2601,7654.0,342.0,0.574,0.044000000000000004,594.0,0.0775,13844.29,609.0,4.0,0.3135,1980.0,84.0,1015.0,0.2601,7654.0,342.0,0.574,0.044000000000000004,594.0,110.0,552.0,13680.0,100.0,210.0,165.0,1521.0,110.0,723.25,9880.36,552.0,13680.0,100.0,102.00999999999999,210.0,165.0,1521.0,2500.0,0.35379999999999995,234.0
700.0,3975.0,28.0,61.75,5069.2,10546.140000000001,0.2622,1760.0,72.0,0.138,520.0,0.060899999999999996,0.215,8272.0,182.0,0.5616,0.022400000000000003,324.0,0.038000000000000006,10546.140000000001,700.0,28.0,0.2622,1760.0,72.0,520.0,0.215,8272.0,182.0,0.5616,0.022400000000000003,324.0,168.0,380.0,11286.0,182.0,399.0,282.59999999999997,2080.0,168.0,799.1999999999999,10691.560000000001,380.0,11286.0,182.0,170.1,399.0,282.59999999999997,2080.0,2457.75,0.28909999999999997,213.0
725.0,4611.630000000001,7.5,24.7,6229.874999999999,11829.005,0.261,1548.0,104.5,0.1496,687.5,0.08910000000000001,0.2028,7590.0,330.0,0.5328999999999999,0.043199999999999995,630.0,0.0858,12460.125,517.0,12.0,0.2695,1501.0,104.0,793.5,0.21,7182.0,285.0,0.4774,0.04000000000000001,600.0,49.5,500.0,10989.0,39.0,154.0,131.645,1782.0,135.0,649.5199999999999,9288.119999999999,472.5,11602.5,47.5,50.35,180.0,141.26999999999998,2282.5,2754.2400000000002,0.3,204.0
240.0,1662.12,14.0,35.099999999999994,6095.429999999999,11992.800000000001,0.24750000000000003,1443.0,68.0,0.12600000000000003,536.5,0.0736,0.2009,7280.0,736.0,0.616,0.10149999999999999,1242.0,0.1683,13006.5,279.0,18.0,0.24,1501.5,32.0,477.0,0.20700000000000002,7352.5,576.0,0.6375,0.07840000000000001,992.0,94.5,748.0,11554.0,38.0,126.0,104.78,1896.0,105.0,529.59,9641.52,650.0,12483.0,45.0,47.025,91.0,73.16000000000001,1968.0,2557.5,0.306,220.0
552.0,3896.5024999999996,13.75,44.69,6373.64,10716.375,0.26,1494.0,54.0,0.12179999999999999,430.5,0.059800000000000006,0.2162,6903.0,599.25,0.7031000000000001,0.0918,848.0,0.13019999999999998,13381.5,494.5,16.5,0.2352,1224.0,32.5,450.5,0.1978,6045.0,472.5,0.6084,0.081,756.0,66.5,550.0,9506.0,72.0,209.25,189.63,1518.75,120.0,656.705,8887.635,461.25,11954.25,69.0,78.045,154.0,129.85000000000002,1923.75,2777.5,0.32480000000000003,196.0
369.75,2454.025,6.0,19.840000000000003,5579.760000000001,9051.125,0.234,1482.0,43.75,0.07769999999999999,569.5,0.0741,0.1935,7612.0,307.5,0.6496999999999999,0.0414,481.75,0.0648,11479.02,268.25,6.75,0.1974,1139.0,52.0,580.5,0.1596,7212.75,264.0,0.6375,0.036,418.0,131.75,409.5,8278.75,60.0,270.0,221.44750000000002,1860.0,160.0,820.2974999999999,9161.895,388.5,10550.0,85.0,92.25,224.75,179.13750000000002,2320.5,2766.4,0.2805,185.0
546.0,3199.6349999999998,21.0,58.315,5647.200000000001,11103.125,0.2499,1701.0,106.25,0.13119999999999998,827.75,0.09019999999999999,0.1936,8786.0,321.75,0.5821999999999999,0.0378,540.0,0.0638,11262.760000000002,667.0,45.0,0.2601,1763.75,126.0,1134.0,0.1978,8929.25,210.0,0.5772,0.024,361.0,143.0,525.0,12096.0,70.0,248.0,178.13250000000002,2424.0,148.5,595.2375,10312.380000000001,472.5,12320.0,63.0,57.27000000000001,232.0,163.03,2424.0,2497.5,0.28080000000000005,197.0
440.0,3131.2650000000003,7.0,12.76,5168.8875,11424.17,0.196,1390.25,38.5,0.0864,451.0,0.0552,0.1656,8234.0,165.0,0.584,0.0221,280.0,0.0352,9813.077500000001,499.5,8.25,0.23320000000000002,1757.5,30.25,385.0,0.2009,8688.0,120.0,0.5475,0.0144,225.5,175.0,288.75,10314.0,52.0,110.0,89.63499999999999,2493.75,123.25,547.0375,9029.699999999999,245.0,8855.5,52.0,57.54,125.0,103.95,2069.25,2262.87,0.2288,190.0
280.0,1853.39,9.0,20.425,6475.6725,10305.599999999999,0.216,1540.5,24.75,0.0525,473.0,0.055,0.1886,8122.5,458.25,0.4818,0.0575,944.0,0.11560000000000002,9644.050000000001,333.0,26.0,0.235,1638.0,33.0,546.0,0.2024,8099.0,458.25,0.5036999999999999,0.0572,912.0,72.0,561.0,11695.5,64.0,245.0,170.005,2131.5,114.75,508.79999999999995,10306.560000000001,681.5,11016.0,76.5,64.7625,264.0,181.25,2337.5,2611.4399999999996,0.26,223.0
540.5,3638.3199999999997,52.25,118.95,5735.474999999999,9732.24,0.216,1481.25,63.0,0.1023,562.5,0.07,0.18059999999999998,8280.75,230.0,0.5312,0.0286,432.0,0.054000000000000006,10961.6675,420.0,29.25,0.189,1224.75,55.25,500.0,0.15200000000000002,8054.5,294.0,0.567,0.0368,520.0,147.0,393.75,9022.75,22.5,128.25,102.42500000000001,2303.0,162.0,691.125,9273.387499999999,472.5,10149.0,26.25,28.675,130.5,103.91250000000001,2600.0,2656.4024999999997,0.255,188.0
487.5,3072.3875000000003,5.0,15.697500000000002,6636.49,12859.4,0.28,1540.0,143.0,0.11549999999999999,1174.25,0.164,0.2107,7176.0,363.0,0.585,0.052199999999999996,609.0,0.0874,12064.365,433.5,10.5,0.3021,1600.0,125.0,816.0,0.23029999999999998,6886.75,484.5,0.6557,0.0736,747.5,55.25,506.25,12862.0,89.25,204.0,169.83,1697.25,60.0,340.29999999999995,9466.1875,540.0,12045.0,76.0,77.55,192.0,157.04,1660.0,2455.215,0.3294,204.0
305.25,2241.0225,33.0,107.1,5752.18,12116.115,0.25,1366.75,73.5,0.10729999999999999,710.5,0.1023,0.2025,6790.25,374.0,0.6715,0.057999999999999996,602.0,0.0925,11902.6075,408.5,20.0,0.26,1331.25,71.5,567.0,0.20700000000000002,6399.75,446.5,0.616,0.072,720.25,92.0,481.75,10605.0,38.5,182.0,163.20000000000002,1655.5,104.5,596.85,8741.975,490.25,10450.0,52.0,58.93,181.25,158.4575,1599.0,2442.5550000000003,0.29700000000000004,185.0
