a_ast,a_ast_pct,a_blk,a_blk_pct,a_def_reb_pct,a_def_rtg,a_efg,a_fg,a_fg3,a_fg3_pct,a_fg3a,a_fg3a_per_fga_pct,a_fg_pct,a_fga,a_ft,a_ft_pct,a_ft_rt,a_fta,a_fta_per_fga_pct,a_off_rtg,a_opp_ast,a_opp_blk,a_opp_efg_pct,a_opp_fg,a_opp_fg3,a_opp_fg3a,a_opp_fg_pct,a_opp_fga,a_opp_ft,a_opp_ft_pct,a_opp_ft_rate,a_opp_fta,a_opp_orb,a_opp_pf,a_opp_pts,a_opp_stl,a_opp_tov,a_opp_tov_pct,a_opp_trb,a_orb,a_orb_pct,a_pace,a_pf,a_pts,a_stl,a_stl_pct,a_to,a_to_pct,a_trb,a_trb_pct,a_ts_pct,h_ast,h_ast_pct,h_blk,h_blk_pct,h_def_reb_pct,h_def_rtg,h_efg,h_fg,h_fg3,h_fg3_pct,h_fg3a,h_fg3a_per_fga_pct,h_fg_pct,h_fga,h_ft,h_ft_pct,h_ft_rt,h_fta,h_fta_per_fga_pct,h_off_rtg,h_opp_ast,h_opp_blk,h_opp_efg_pct,h_opp_fg,h_opp_fg3,h_opp_fg3a,h_opp_fg_pct,h_opp_fga,h_opp_ft,h_opp_ft_pct,h_opp_ft_rate,h_opp_fta,h_opp_orb,h_opp_pf,h_opp_pts,h_opp_stl,h_opp_tov,h_opp_tov_pct,h_opp_trb,h_orb,h_orb_pct,h_pace,h_pf,h_pts,h_stl,h_stl_pct,h_to,h_to_pct,h_trb,h_trb_pct,h_ts_pct,ttl_pts
16.0,55.2,2.0,3.3,76.7,96.9,0.45,29.0,3.0,0.2,15.0,0.22,0.43,68.0,24.0,0.73,0.35,33.0,0.48,91.5,16.0,0.0,0.47,33.0,3.0,14.0,0.45,74.0,21.0,0.62,0.28,34.0,10.0,28.0,90.0,10.0,16.0,15.2,36.0,8.0,23.5,92.9,26.0,85.0,8.0,8.6,21.0,20.3,41.0,53.2,0.52,16.0,48.5,0.0,0.0,76.5,91.5,0.47,33.0,3.0,0.21,14.0,0.19,0.45,74.0,21.0,0.62,0.28,34.0,0.46,96.9,16.0,2.0,0.45,29.0,3.0,15.0,0.43,68.0,24.0,0.73,0.35,33.0,8.0,26.0,85.0,8.0,21.0,20.3,41.0,10.0,23.3,92.9,28.0,90.0,10.0,10.8,16.0,15.2,36.0,46.8,0.51,175
21.0,56.8,3.0,5.3,57.6,120.3,0.51,37.0,6.0,0.43,14.0,0.18,0.47,78.0,15.0,0.75,0.19,20.0,0.26,105.8,27.0,6.0,0.54,35.0,5.0,12.0,0.51,69.0,33.0,0.75,0.48,44.0,14.0,18.0,108.0,9.0,18.0,16.9,40.0,13.0,33.3,89.8,30.0,95.0,5.0,5.6,19.0,18.0,32.0,44.4,0.55,27.0,77.1,6.0,9.4,66.7,105.8,0.54,35.0,5.0,0.42,12.0,0.17,0.51,69.0,33.0,0.75,0.48,44.0,0.64,120.3,21.0,3.0,0.51,37.0,6.0,14.0,0.47,78.0,15.0,0.75,0.19,20.0,13.0,30.0,95.0,5.0,19.0,18.0,32.0,14.0,42.4,89.8,18.0,108.0,9.0,10.0,18.0,16.9,40.0,55.6,0.61,203
19.0,65.5,3.0,4.3,77.5,107.7,0.41,29.0,10.0,0.42,24.0,0.29,0.34,84.0,8.0,0.57,0.1,14.0,0.17,85.3,19.0,7.0,0.51,37.0,7.0,10.0,0.47,79.0,15.0,0.83,0.19,18.0,9.0,17.0,96.0,8.0,15.0,14.7,49.0,13.0,24.5,89.1,17.0,76.0,8.0,9.0,12.0,11.7,44.0,47.3,0.42,19.0,51.4,7.0,11.7,75.5,85.3,0.51,37.0,7.0,0.7,10.0,0.13,0.47,79.0,15.0,0.83,0.19,18.0,0.23,107.7,19.0,3.0,0.41,29.0,10.0,24.0,0.34,84.0,8.0,0.57,0.1,14.0,13.0,17.0,76.0,8.0,12.0,11.7,44.0,9.0,22.5,89.1,17.0,96.0,8.0,9.0,15.0,14.7,49.0,52.7,0.55,172
24.0,66.7,5.0,7.8,50.0,99.8,0.51,36.0,10.0,0.62,16.0,0.2,0.44,81.0,13.0,0.77,0.16,17.0,0.21,112.8,15.0,8.0,0.38,29.0,5.0,20.0,0.34,84.0,21.0,0.75,0.25,28.0,23.0,16.0,84.0,3.0,17.0,15.0,56.0,10.0,23.3,84.2,23.0,95.0,8.0,9.5,9.0,9.2,33.0,37.1,0.54,15.0,51.7,8.0,12.3,76.7,112.8,0.38,29.0,5.0,0.25,20.0,0.24,0.34,84.0,21.0,0.75,0.25,28.0,0.33,99.8,24.0,5.0,0.51,36.0,10.0,16.0,0.44,81.0,13.0,0.77,0.16,17.0,10.0,23.0,95.0,8.0,9.0,9.2,33.0,23.0,50.0,84.2,16.0,84.0,3.0,3.6,17.0,15.0,56.0,62.9,0.44,179
22.0,59.5,9.0,15.0,71.1,94.6,0.51,37.0,6.0,0.32,19.0,0.24,0.47,78.0,15.0,0.83,0.19,18.0,0.23,105.7,18.0,5.0,0.4,30.0,5.0,21.0,0.37,81.0,20.0,0.67,0.25,30.0,13.0,19.0,85.0,4.0,15.0,13.7,41.0,5.0,15.2,89.9,23.0,95.0,7.0,7.8,9.0,9.5,37.0,47.4,0.55,18.0,60.0,5.0,8.5,84.8,105.7,0.4,30.0,5.0,0.24,21.0,0.26,0.37,81.0,20.0,0.67,0.25,30.0,0.37,94.6,22.0,9.0,0.51,37.0,6.0,19.0,0.47,78.0,15.0,0.83,0.19,18.0,5.0,23.0,95.0,7.0,9.0,9.5,37.0,13.0,28.9,89.9,19.0,85.0,4.0,4.4,15.0,13.7,41.0,52.6,0.45,180
17.0,44.7,7.0,11.3,67.3,91.5,0.47,38.0,5.0,0.25,20.0,0.23,0.44,86.0,18.0,0.58,0.21,31.0,0.36,106.5,10.0,11.0,0.39,32.0,4.0,25.0,0.37,87.0,17.0,0.63,0.2,27.0,17.0,28.0,85.0,9.0,15.0,13.2,45.0,18.0,39.1,92.9,23.0,99.0,10.0,10.8,14.0,12.3,53.0,54.1,0.5,10.0,31.3,11.0,16.7,60.9,106.5,0.39,32.0,4.0,0.16,25.0,0.29,0.37,87.0,17.0,0.63,0.2,27.0,0.31,91.5,17.0,7.0,0.47,38.0,5.0,20.0,0.44,86.0,18.0,0.58,0.21,31.0,18.0,23.0,99.0,10.0,14.0,12.3,53.0,17.0,32.7,92.9,28.0,85.0,9.0,9.7,15.0,13.2,45.0,45.9,0.43,184
22.0,52.4,2.0,3.2,70.8,116.2,0.49,42.0,6.0,0.26,23.0,0.25,0.46,92.0,25.0,0.76,0.27,33.0,0.36,111.4,27.0,0.0,0.53,42.0,9.0,25.0,0.48,87.0,27.0,0.73,0.31,37.0,14.0,28.0,120.0,7.0,15.0,12.7,46.0,13.0,28.9,103.3,26.0,115.0,8.0,7.7,14.0,11.6,47.0,50.5,0.54,27.0,64.3,0.0,0.0,71.1,111.4,0.53,42.0,9.0,0.36,25.0,0.29,0.48,87.0,27.0,0.73,0.31,37.0,0.42,116.2,22.0,2.0,0.49,42.0,6.0,23.0,0.46,92.0,25.0,0.76,0.27,33.0,13.0,26.0,115.0,8.0,14.0,11.6,47.0,14.0,29.2,103.3,28.0,120.0,7.0,6.8,15.0,12.7,46.0,49.5,0.58,235
24.0,61.5,5.0,7.7,81.1,110.9,0.53,39.0,6.0,0.4,15.0,0.19,0.49,79.0,19.0,0.7,0.24,27.0,0.34,116.6,18.0,3.0,0.53,40.0,5.0,15.0,0.5,80.0,13.0,0.68,0.16,19.0,7.0,24.0,98.0,4.0,7.0,7.3,38.0,9.0,22.5,88.3,20.0,103.0,5.0,5.7,10.0,9.9,39.0,50.6,0.57,18.0,45.0,3.0,4.7,77.5,116.6,0.53,40.0,5.0,0.33,15.0,0.19,0.5,80.0,13.0,0.68,0.16,19.0,0.24,110.9,24.0,5.0,0.53,39.0,6.0,15.0,0.49,79.0,19.0,0.7,0.24,27.0,9.0,20.0,103.0,5.0,10.0,9.9,39.0,7.0,18.9,88.3,24.0,98.0,4.0,4.5,7.0,7.3,38.0,49.4,0.56,201
19.0,52.7,3.5,5.65,63.3,108.7,0.51,36.0,6.5,0.41,16.0,0.21,0.47,77.0,18.0,0.78,0.23,23.0,0.3,107.6,21.5,4.5,0.49,33.5,3.0,9.0,0.47,71.0,27.5,0.73,0.39,37.5,13.5,20.5,97.5,9.0,18.5,17.45,37.5,13.5,36.1,89.7,26.0,96.5,6.0,6.7,19.0,17.95,37.5,49.75,0.56,16.0,50.0,3.0,5.2,61.1,109.4,0.45,32.0,1.0,0.17,6.0,0.08,0.44,73.0,22.0,0.71,0.3,31.0,0.42,97.1,17.0,4.0,0.51,35.0,7.0,18.0,0.46,76.0,21.0,0.81,0.28,26.0,14.0,22.0,98.0,7.0,19.0,17.9,43.0,13.0,31.0,89.6,23.0,87.0,9.0,10.0,19.0,18.0,35.0,44.9,0.5,185
22.0,61.1,8.0,10.5,76.6,103.5,0.48,36.0,5.0,0.29,17.0,0.21,0.45,80.0,19.0,0.76,0.24,25.0,0.31,101.4,25.0,7.0,0.5,42.0,3.0,11.0,0.48,87.0,11.0,0.5,0.13,22.0,11.0,23.0,98.0,10.0,11.0,10.2,40.0,9.0,23.7,94.7,20.0,96.0,2.0,2.1,15.0,14.2,45.0,52.9,0.53,25.0,59.5,7.0,11.1,76.3,101.4,0.5,42.0,3.0,0.27,11.0,0.13,0.48,87.0,11.0,0.5,0.13,22.0,0.25,103.5,22.0,8.0,0.48,36.0,5.0,17.0,0.45,80.0,19.0,0.76,0.24,25.0,9.0,20.0,96.0,2.0,15.0,14.2,45.0,11.0,23.4,94.7,23.0,98.0,10.0,10.6,11.0,10.2,40.0,47.1,0.51,194
