dataset,model,train_r_2,train_rmse,test_r_2,test_rmse
past_10_seasons_merged_feature-selected,random_forest,0.8639386816061957,7.503759322104611,0.03419095377284376,20.592972653789804
past_10_seasons_merged_feature-selected,ridge,0.0016015008981906664,20.326542772737657,-0.0026454038637211408,20.982010112448812
past_10_seasons_merged_feature-selected,neural_network,0.25707193981934606,17.53415895873979,-0.05172696523133857,21.489430825121424
past_10_seasons_merged_pca,random_forest,0.8625447095985458,7.542100033953122,0.018832865846970748,20.75605938154697
past_10_seasons_merged_pca,ridge,0.0015020717068199296,20.327554894348975,-0.0022151798170431114,20.977508055283955
past_10_seasons_merged_pca,neural_network,0.09848374438647711,19.315161311205586,-0.016788229168196445,21.129472906197172
past_10_seasons_merged_scaled,random_forest,0.8704259782787827,7.322687955812646,0.06789832389459105,20.23042715611165
past_10_seasons_merged_scaled,ridge,0.004595500655156237,20.296042247275413,-0.0019258175570429081,20.97447949541508
past_10_seasons_merged_scaled,neural_network,0.5660849112704709,13.400281899487572,-0.2262410613841852,23.203918726570617
past_10_seasons_scaled,random_forest,0.9087959187107593,6.14354006667965,0.3303404592815208,17.147485277857495
past_10_seasons_scaled,ridge,0.38335206203455297,15.974607648437617,0.3578380433937155,16.79173976217903
past_10_seasons_scaled,neural_network,0.7981963692474512,9.138523779872532,-0.2208197749032721,23.152568938995838
past_10_seasons_feature-selected,random_forest,0.9086289452673952,6.149161191031945,0.3220952993045274,17.252726235246687
past_10_seasons_feature-selected,ridge,0.35711435401231206,16.310918701373783,0.34388112473137256,16.973236953892435
past_10_seasons_feature-selected,neural_network,0.3872545715472261,15.923979080258738,0.3217678132984113,17.256893003972994
past_10_seasons_pca,random_forest,0.90658508281053,6.21755556353369,0.30688915972543296,17.445151845518907
past_10_seasons_pca,ridge,0.3472244541366404,16.435900247559413,0.3393864423130871,17.03127453287324
past_10_seasons_pca,neural_network,0.385319139858496,15.949108174367433,0.27296316367776463,17.86699912364926
2017_2018_2019_scaled,random_forest,0.8942613052509458,6.413319852374522,0.2769634449429078,17.989416154680207
2017_2018_2019_scaled,ridge,0.30933135710821613,16.390824379165704,0.2972109127456942,17.73574540174007
2017_2018_2019_scaled,neural_network,0.940596036047773,4.806994668676652,-1.4962195573960435,33.425532286149526
2017_2018_2019_feature-selected,random_forest,0.8915867946254086,6.493921284597313,0.27402683943425976,18.025911050374827
2017_2018_2019_feature-selected,ridge,0.26508016719362404,16.90775364522907,0.2973005506817943,17.73461430399105
2017_2018_2019_feature-selected,neural_network,0.42242622225487947,14.98889652183518,0.09880672554898606,20.083801122062617
2017_2018_2019_pca,random_forest,0.8891863515413915,6.565420615232065,0.27189215576302805,18.05239369104588
2017_2018_2019_pca,ridge,0.25598826226395066,17.01201751199845,0.2950875051225834,17.762518592950308
2017_2018_2019_pca,neural_network,0.3503263470333371,15.896940723541293,0.22528027047129517,18.621267943341866
all_seasons_scaled,random_forest,0.9112899222018549,6.146266066420819,0.37356131260596903,17.145489973708138
all_seasons_scaled,ridge,0.393848195663956,16.06628910541485,0.3969620886470049,16.82220507922929
all_seasons_scaled,neural_network,0.6583059836734331,12.062673231715527,0.16017598905402253,19.852022500979874
all_seasons_feature-selected,random_forest,0.9097992711137862,6.197690718462715,0.36382032129094,17.278280151861455
all_seasons_feature-selected,ridge,0.3713169453586038,16.362164470226748,0.37523166529235974,17.1226161216732
all_seasons_feature-selected,neural_network,0.3784316553357865,16.269316981169304,0.34528194650520827,17.528218303059834
all_seasons_pca,random_forest,0.9080728286178135,6.256721513721749,0.3468933297266713,17.506634907735464
all_seasons_pca,ridge,0.36149884082400874,16.48943296639242,0.36532531626929265,17.25783064439636
all_seasons_pca,neural_network,0.4052652989998776,15.914262452061914,0.349168416840528,17.47611625903809
all_seasons_merged_mult_scaled,random_forest,0.9095747159200388,6.205400515034742,0.3790653315841501,17.07000189614335
all_seasons_merged_mult_scaled,ridge,0.39070809114616667,16.10785019444638,0.3972561222577671,16.81810343263975
all_seasons_merged_mult_scaled,neural_network,0.5336830484892077,14.09176778984977,0.29235354188545637,18.22295420780666
all_seasons_merged_mult_feature-selected,random_forest,0.9093539235832795,6.21297179094458,0.37500881852612866,17.125669557023883
all_seasons_merged_mult_feature-selected,ridge,0.3806240534812315,16.240599038021973,0.3897327310573063,16.922738908715058
all_seasons_merged_mult_feature-selected,neural_network,0.3906704253426928,16.10834807217515,0.3843599944847661,16.997068782693688
all_seasons_merged_mult_pca,random_forest,0.9081842420321378,6.252928869851652,0.3666498578709596,17.239813025288083
all_seasons_merged_mult_pca,ridge,0.3732141150396021,16.3374578584101,0.37980589280131416,17.05981954244547
all_seasons_merged_mult_pca,neural_network,0.4126200157035964,15.81555541342538,0.3794299478485742,17.064989360524134
